tiêu đề,miêu tả,nguyên liệu,hướng dẫn,link;
Thành phẩm;
"(Nguồn: kannammacooks)"",https://afamily.vn/nha-co-banh-my-du-toi-lam-mon-an-vat-nay-moi-nguoi-an-het-ngay-trong-3-not-nhac-20190313104625552.chn";
"Gần 30 người nhập viện nghi do ngộ độc sau khi ăn bánh mỳ ở Đà Nẵng,,""Trước đó, ngày 23/1, sau khi ăn bánh mỳ tại quầy Q.H (trên đường Văn Tiến Dũng, P. Hòa Xuân, quận Cẩm Lệ, Đà Nẵng), nhiều thực khách đã có biểu hiện chóng mặt, ói mửa phải nhập viện.";
Theo chị Thanh Tuyền (đang nằm điều trị tại Bệnh viện Tâm Trí), sáng 23/1, khoảng 2 tiếng sau khi ăn bánh mỳ tại cơ sở này ăn thì bị có các triệu chứng ngộ độc như nôn mửa, đi ngoài.;
"Tôi mua thuốc uống nhưng không thuyên giảm. Đến ngày 24-1, khi thấy sức khỏe yếu quá, bụng quặn đau nên gia đình đưa đi nhập viện điều trị""""- chị Tuyền kể.";
Ngay sau khi nhận được thông tin, ban Quản lý An toàn thực phẩm TP Đà Nẵng và các đơn vị đã ngay lập tức tiến hành kiểm tra cơ sở này và lấy các mẫu (bánh mỳ, chả, rau...) để đi xét nghiệm.;
Được biết, có khoảng 27 người phải nhập viện với các triệu chứng ngộ độc giống nhau sau khi mua bánh mỳ của cơ sở này ăn.;
Các nạn nhân đang điều trị tại bệnh viện;
Liên quan đến vụ việc, tối cùng ngày, Bệnh viện đa khoa Tâm Trí (TP Đà Nẵng) cho biết, hiện bệnh viện đang tiến hành điều trị, theo dõi cho hơn 25 bệnh nhân được nhập viện vào ngày 24/1 do bị ngộ độc thực phẩm trên địa bàn phường Hòa Xuân (quận Cẩm Lệ).;
"Hiện tại khoa Nội B, có 9 bệnh nhân vẫn đang được điều trị, theo dõi sau khi được nhập viện khẩn cấp trong tình trạng đau bụng, ói mửa liên tục mặc dù đã tự đi mua thuốc tây để uống vào ngày 24-1. Tại khoa Nội A, khoa Hồi sức và khoa Nhi, các bệnh nhân còn lại vẫn đang được điều trị với triệu chứng viêm dạ dày ruột cấp tính."",""Tiệm bánh mì nơi xảy ra vụ việc";
"Hiện lực lượng chức năng đã lấy tất cả các mẫu vật liên quan đưa đi xét nghiệm để tìm nguyên nhân. Sau khi có kết quả cụ thể, chúng tôi sẽ có những bước xử lý, xử phạt chính thức"""", ông Hải nói."",https://afamily.vn/gan-30-nguoi-nhap-vien-nghi-do-ngo-doc-sau-khi-an-banh-my-o-da-nang-20190126112032253.chn";
"Chọn ""Bánh mì"" làm National Costume, H'Hen Niê đang đi thi Hoa hậu hay làm mẫu trưng bày hội chợ ẩm thực đây?,,""H'Hen Niê, câu chuyện quốc phục hay những chiêu trò làm lố - quả thực là cái đáng để người ta tranh cãi trong mấy ngày này.";
"Sẽ là không sai, nếu chúng ta thử một lần đổi mới, không chọn quốc phục liên quan đến hình ảnh con rồng cháu tiên, mẹ Âu Cơ hay đại để là những yếu tố na ná như thế. Nhưng sẽ là quá mạo hiểm và (hơi) sai nếu chọn """"Bánh Mì"""" làm National Costume, làm vũ khí chinh chiến cho H'Hen Niê tại đấu trường sắc đẹp quốc tế.";
"Một bộ trang phục, đầu tiên phải đảm bảo tính thẩm mĩ. Vì sao? Vì chúng ta đang đi thi một cuộc thi sắc đẹp cơ mà? Xin in đậm và nhấn mạnh, đây là Miss Universe - Hoa Hậu Hoàn Vũ chứ không phải đại hội cosplay khu vực toàn quốc hay hội chợ sáng tạo trẻ 2 lẻ 18. Riêng về hạng mục này, """"Bánh mì"""" xem chừng vẫn chưa làm được. Cả hai phiên bản """"Bánh mì"""" đỏ trước đó lẫn bản """"Bánh mì"""" nude mới đây đều thoi thóp nằm ở hạng mục """"khó cảm"""". Thiết kế thô thiển của chúng chỉ khiến người ta cảm thấy hơi ngột ngạt. Đẹp đâu chưa thấy, chỉ thấy sặc mùi dầu mỡ và rau héo, nghĩ đã thấy khó ăn...";
"Phiên bản đầu tiên của """"Bánh mì"""" đã khó cảm lắm rồi, nhưng cũng không thể bằng phiên bản mới đây.";
"Đó là còn chưa nói tới việc, nó hoàn toàn chẳng tôn được bất kỳ vẻ đẹp gì của H'Hen Niê. Không hợp màu da, chẳng xứng dáng vóc thì thử hỏi H'Hen Niê mặc bộ này để làm gì? Khi nó chẳng giúp cô đẹp lên tí chân kính nào. À, tới đây thì có thể nảy ra một khía cạnh khác. """"Bánh mì"""" sẽ giúp cô tạo ấn tượng.";
Cần đặt ngay một dấu chấm hỏi với bộ đồ mang đi thi National Costume này.;
Nhưng, ấn tượng ở đây là ấn tượng mang tính tích cực hay thực tế chỉ là lớp vỏ bọc cho yếu tố gây shock?;
"National Costume nên hoàn thành tốt nhiệm vụ ở việc toát lên tinh thần dân tộc nhưng chẳng hạn nếu chọn bánh mì, thì há chẳng phải đang nói rằng tinh thần của chúng ta là ăn? Ăn, ăn nữa, ăn mãi? Xét về điểm ý tưởng, ta tạm cho là sáng tạo nhưng kì tình, """"Bánh mì"""" sẽ hợp với hội chợ ẩm thực hơn là một cuộc thi sắc đẹp mang tầm cỡ quốc tế.";
Quyết định chọn bộ đồ vừa không có tính thẩm mỹ, lại chẳng mang được nhiều ý nghĩa thâm sâu gì (ngoài việc nó gợi nhớ đến món ăn nổi tiếng nhất nhì Việt Nam) xem chừng là một quyết định chẳng mấy thông minh. Và vì thế cũng không có gì làm lạ, khi cư dân mạng phản ứng dữ dội thế này.;
"Ngoài """"Bánh mì"""", H'Hen Niê có thể chọn những bộ khác đẹp hơn cơ mà?"",Miss Universe - Hoa Hậu Hoàn Vũ,https://afamily.vn/chon-banh-mi-lam-quoc-phuc-hhen-nie-dang-di-thi-hoa-hau-hay-lam-mau-trung-bay-hoi-cho-am-thuc-day-20181124144653414.chn";
"Trưa nào tôi cũng ăn món này, sau 1 tuần giảm cả 2kg!,,""- 72g kem phô mai (creamcheese)";
Dâu tây cắt bỏ phần cuống, bổ làm đôi. Cam và kiwi bạn cắt thành những lát mỏng tròn.;
Tiếp đến, nhẹ nhàng xếp trái cây lên trên. Làm tương tự với những lát bánh mì còn lại.;
Cuối cùng, bạn dùng dao cắt phần rìa xung quanh bánh và cắt đôi bánh ra là hoàn tất. Cho bánh ra đĩa, trang trí thêm một vài lá bạc hà lên trên mặt cho bắt mắt.;
Với thời gian chuẩn bị chỉ khoảng 15-20 phút là tôi đã có bữa trưa đầy dinh dưỡng và lại ngon miệng nữa! Với bữa trưa như thế này tôi có thể ăn nhiều bao nhiêu tùy thích cho thật no rồi buổi tối chỉ ăn salad nhẹ nhàng, sau 2 tuần tôi giảm 2kg và cảm thấy cơ thể mình nhẹ nhõm hẳn đi so với lúc trước.;
Chúc các bạn thành công và ngon miệng với món ăn giảm cân này nhé!;
"Có một loại đồ uống giúp giảm tới 3kg trong vòng 5 ngày được Hot mom Sài Gòn Huỳnh Phương Trang chia sẻ, bạn có muốn thử không? Hãy bấm VÀO ĐÂY nhé!"",""Nguyên  liệu:";
- 3 lát bánh mì sandwich - chọn loại bánh mỳ đen nguyên cám;
- 5 quả dâu tây;
- 1 quả cam vàng;
- 2 quả kiwi;
#NAME?;
Bước 1;
Bước 2;
Phết đều kem phô mai lên mặt bánh mì.;
Bước 3;
Bước 4:;
"(Nguồn: wtable)"",https://afamily.vn/trua-nao-toi-cung-an-mon-nay-sau-1-tuan-giam-ca-2kg-20181119104710254.chn";
"Giòn tan thơm phức món bánh mỳ bơ tỏi truyền thống,,""-  1 thìa canh mật phong, hoặc mật ong";
-  40g bơ mặn. Nếu dùng bơ nhạt thì thêm 1/3 thìa cà phê muối.;
-  1 thìa cà phê đường;
-  1 thìa cà phê tỏi băm;
-  ½ thìa cà phê lá mùi tây khô băm nhỏ hoặc 1 thìa cà phê lá mùi tươi băm nhỏ;
Cắt bánh mỳ thành từng lát dày khoảng 1cm, chừa khoảng 1 chút ở mặt dưới bánh mỳ, không cắt đứt hoàn toàn.;
Cho bơ (và muối nếu dùng bơ nhạt) vào lò vi sóng quay vài giây cho bơ chảy.;
Cho tỏi, mùi, đường vào bơ, trộn đều đến khi đường tan.;
Rưới đều mật ong lên bánh mỳ.;
Làm nóng lò nướng ở 160oC trước 10 phút, tách các lát bánh mỳ ra một chút rồi cho khay bánh vào nướng từ 8-10 phút đến khi bánh vàng giòn.;
"Bánh  mỳ nướng bơ tỏi bên ngoài giòn rụm, bên trong hơi mềm, vị tỏi quyện vào vị ngọt  của mật ong, hơi mằn mặn thơm bơ, cảm giác chỉ cần cho một miếng vào miệng  thôi là đánh thức toàn bộ vị giác. Bạn có thể dùng bánh mỳ nướng bơ tỏi kèm  với một ly sữa là đã có một bữa sáng hoàn hảo rồi."",""Nguyên liệu:";
#NAME?;
Cách làm:;
Bước 1;
Bước 2;
Bước 3;
Lót giấy bạc vào khay, đặt bánh mỳ lên khay. Đổ hỗn hợp bơ tỏi ở bước 3 lên bánh mỳ, đổ đều vào giữa các lát bánh mỳ.;
Bước 4;
Bước 5;
Chúc  các bạn thành công!;
"Nguồn:  blogsina"",https://afamily.vn/gion-tan-thom-phuc-mon-banh-my-bo-toi-truyen-thong-2018092820195478.chn";
"Bánh mì ngọt mềm ẩm thơm ngon chỉ muốn ăn hoài ăn mãi,,""70g đường";
1 quả vani hoặc 1 thìa cafe vani;
1,5 thìa cafe men nở;
1/2 thìa cafe muối;
340g bột mì đa dụng;
85g bơ;
85g sữa tươi;
170g sữa chua Hy Lạp (hoặc sữa chua thường không đường);
30g mứt vỏ cam;
30g quả mơ sấy khô;
55g nho khô;
1/2 thìa cafe bột quế;
1/4 thìa cafe bột hạt mùi;
1/4 thìa cafe bột nhục đậu khấu;
1 lòng đỏ trứng;
1,5 thìa cafe sữa tươi không đường;
Phần đường trang trí mặt bánh:;
57g đường bột;
1 thìa cafe sữa tươi không đường;
1/4 thìa cafe vani;
Cho đường và vani vào tô to trộn đều sau đó cho bột mì, men nở, muối vào trộn cùng.;
Cho bơ lên bếp đun cho chảy nhớ đun nhỏ lửa khi bơ tan hoàn toàn thì bắc xuống tiếp đó cho sữa tươi và sữa chua vào trộn đều.;
Đổ hỗn hợp sữa vào phần bột khô, trộn đều. Nếu có máy trộn bột thì cho vào máy trộn ở tốc độ thấp trong 7 phút rồi tăng tốc độ trung bình thêm 10 phút nữa. Còn nếu không có máy bạn có thể nhào bột bằng tay. Bạn nhào bột chừng 20 phút hoặc khi thấy bột có thể kéo màng mỏng là được.;
Đậy một khăn ẩm lên mặt bột, ủ bột khoảng 1,5 giờ đến khi bột nở gấp đôi là được.;
Chia bột thành 15 phần bằng nhau. Hoặc bạn có thể chia to hơn nếu muốn.;
Dùng màng bọc thực phẩm ủ bột lần 2 trong khoảng 1,5 giờ. Sau thời gian ủ, lấy khay bánh đã ủ ra. Hòa lòng đỏ trứng với sữa tươi, sau đó phết lên mặt bánh. Dùng dao sắc khía hình chữ thập trên mặt bánh để giúp bánh nở tốt hơn khi nướng. Bật lò nướng ở 176 độ C, làm nóng lò trước khoảng 10 phút. Sau đó cho bánh vào nướng.;
Cho bánh vào nướng khi thấy mặt bánh xém vàng nâu thì hạ nhiệt xuống 98 độ, nướng tiếp, tổng thời gian nướng bánh là 20 phút. Khi bánh chín lấy ra ngoài, đặt khay bánh lên rack cho nguội bớt.;
Cho phần đường bột, sữa, muối vào nồi, đặt lên bếp nấu cho tới khi đường tan hoàn toàn, các nguyên liệu đồng nhất.;
Cho đường vào túi bắt kem, cắt lỗ nhỏ rồi phun lên mặt bánh theo đường kẻ caro là được.;
"Như vậy là bánh mì ngọt đã hoàn thành rồi, bánh sẽ ngon nhất khi được thưởng thức lúc vừa nướng xong nhưng bạn cũng có thể để nguội rồi bảo quản trong túi nilong, thời gian được vài ngày đấy nhé!"",""Nguyên liệu:";
"Bánh da lợn cuộn lạ mắt ngon miệng ai cũng phải khen,,""Để làm bánh da lợn cuộn bạn cần chuẩn bị những nguyên liệu sau đây:";
110g đậu xanh;
300g bột năng;
100g bột gạo tẻ;
650ml nước cốt dừa;
370g đường;
Trộn đều đường, bột với nhau. Nước cốt dừa hoà thêm 350ml nước để được 1 lít nước cốt dừa loãng.;
Đậu xanh rửa sạch ngâm 3h cho nở mềm sau đó cho vào nồi thêm nước xăm xắp, đun sôi, đổ bớt nước đi, đậy vung đun tiếp cho đậu chín bằng hơi.;
Khi thấy đậu bở, dùng tay bóp nhuyễn được, thì bỏ đậu ra ngoài cho nguội.;
Bột đã trộn đều thì hoà với 1 lít nước cốt dừa, lọc qua rây để được hỗn hợp bột mịn.;
Chia đôi hỗn hợp bột, 1 nửa đem xay chung với đậu xanh cho mịn, nếu cần lại rây thêm 1 lần nữa.;
Khi thấy bột chuyển màu trong suốt, thì đố đến lớp đậu xanh lên trên. Yêu cầu là khối lượng đổ các lớp nên đồng đều để ta thu được thành phẩm có các lớp màu bằng nhau.;
"Sau đó để bánh nguội hoàn toàn thì dùng dao sắc lưỡi mỏng để cắt bánh thành từng lát."",""10 lá dứa";
Lá dứa rửa sạch, cho vào máy xay nhuyễn, lọc lấy nước cốt.;
Như vậy sẽ có 2 phần bột với màu xanh lá dứa và màu ngà của đậu xanh.;
Chuẩn bị nồi hấp, đặt khuôn đã phết 1 lớt dầu ăn để chống dính hoặc đặt 1 tờ giấy nến lên. Đổ bột màu xanh lên. Đây vung lại, nhớ bọc miếng vải cho vung để không bị nhỏ nước.;
Khi đậu chín thì lại đổ 1 lớp bột xanh, thực hiện lần lượt cho tới hết.;
Lấy bánh ra ngoài, nếu có lót giấy nến thì nhấc bánh ra khỏi khuôn luôn để cho nguội nhanh còn nếu không đợi bánh nguội bớt thì lấy ra khỏi khuôn. Khi bánh vẫn còn ấm thì cuộn bánh lại, cuộn chặt tay và dứt khoát để bánh không bị tuột.;
"Chúc bạn thành công!"",https://afamily.vn/banh-da-lon-cuon-la-mat-ngon-mieng-ai-cung-phai-khen-20160408122616708.chn";
"Món ngon cuối tuần: Mì Quảng thịt gà ngon khó cưỡng,,""Bạn cần chuẩn bị những nguyên liệu sau cho món mì Quảng thịt gà:";
1kg mì Quảng;
500g thịt gà;
200g măng khô;
Rau cải, bắp chuối, húng lủi, hành ngò;
Đậu phộng rang, bánh tráng nướng;
Măng khô rửa sạch, ngâm nước khoảng 15 phút rồi cho vào nồi hầm. Khi măng đã nhừ thì vớt ra để ráo.;
Thịt gà chặt khúc vừa ăn sau đó ướp cùng với muối, hạt nêm, tiêu và hành tăm giã nhuyễn.;
Bắc nồi lên bếp rồi cho hành tăm vào phi thơm. Hành tăm bắt đầu vàng thì cho gà vào đảo thật nhanh tay.;
Khi gà gần chín thì cho măng vào xào cùng gà. Đổ nước vào lấp xấp mặt gà, đậy vung nấu khoảng 10-15 phút nữa cho đến khi gà chín hẳn là được.;
"Cho mì Quảng trụng qua nước nóng ra tô. Sau đó chan nước dùng, thịt gà ra lấp xấp cùng một lớp đậu phộng rang và hành ngò. Mì Quảng gà ăn kèm với rau sống, bánh tráng nướng và nước mắm tỏi ớt."",""Gia vị, chanh, ớt"",https://afamily.vn/mon-ngon-cuoi-tuan-mi-quang-thit-ga-ngon-kho-cuong-20151204020323479.chn";
Những món bánh dân dã miền Trung nhắc đến là thèm,,,,https://afamily.vn/nhung-mon-banh-dan-da-mien-trung-nhac-den-la-them-20150922103653969.chn;
Review chợ đặc sản miền Trung giữa lòng Sài Gòn,,,,https://afamily.vn/review-cho-dac-san-mien-trung-giua-long-sai-gon-20150803022056872.chn;
