ten,thoi gian,so nguoi,do kho,nguyen lieu,cach che bien
Đậu hủ non nướng giấy bạc,1h,4 người,Dễ,1 cây đậu hủ non | 100 g bột năng | 1 cây nấm đùi gà | 200 g bắp non | 200 g bông cải xanh | 200 g củ cải đỏ | 4 tép hành lá | 1 củ hành tây | 3 mc dầu hào | 3 mc nước tương | 2 mc tương cà | 2 mc tương ớt | 1 mcf bột ngọt | 2 mc đường,Cắt tàu hủ non thành khoanh để ráo nước.sơ chế bông cải nấm đùi gà cà rốt.....bắc nước cho 1mc bột nêm vào nước sôi cho tất cả vào chần vừa chín tới vớt ra để ráo.bắc chảo phi đầu hành cho tất cả nguyên liệu nước sauce vào nấu nêm vừa miệng nhắc xuống | Bắc chảo cho dầu hơi nhiều tí áo trứng vào bột năng đều khắp chiên giòn.mở giấy bạc ra cho rau củ vào tiếp đến cho tàu hủ rồi chế sauce lên túm giấy bạc kín cho vào nckd nướng 10 phút.lấy ra xào hành lá xanh cho lên mặt có thể cho tiêu xanh hay ớt lên trang trí
Nem thính nấm đùi gà (món chay),20 phút,2_3 người,Dễ,"02 cái Nấm đùi gà to | 1 gói thính mua sẵn | Rau sống ăn kèm | Hạt nêm , | Mắm , | đường | chanh / giấm | tỏi","Thái sợi nấm đùi gà. Để nấm có độ dai, giòn nên chọn nấm già chắc tay. Tỏi 1 củ đập dập. Rau thơm ăn kèm các loại nhặt rửa sạch | Cho 1 chút dầu vào chảo, 1/2 tỏi phi thơm. Cho nấm vào xào lửa nhỏ, không thêm nước, nêm 1 chút hạt nêm từ nấm. Xào chín nấm, bật to lửa để khô nấm | Để nguội. Rắc thính phủ kín đều nấm, khi chuyển ra đĩa rũ rũ loại bỏ thính dư. Chỉ áo 1 lớp vừa đủ 1 lớp mỏng thính bám quanh nấm. Xếp ra đĩa ăn kèm rau sống chấm nước mắm tỏi ớt (do nhà không ăn chay nên t có sử dụng nước mắm thông thường để pha tuy nhiên các bếp thuần chay sử dụng nước nắm chay để pha nước mắm chua ngọt)"
Chả nấm chay,60 phút,4 người,Dễ,"300 gr nấm bào ngư cắt gốc rồi rửa sạch và xé nhỏ | 20 gr rong biển trộn hạnh nhân và quả hạch brazil | 2 trái bắp mỹ lột vỏ,bỏ râu,rửa sạch và bào mỏng | 2 miếng đậu hủ trắng (khoảng 180gr) nghiền nhỏ | 4 gr rong biển miếng ăn liền | 20 gr thì là cắt gốc rồi rửa sạch để ráo và cắt nhỏ | 150 gr bột chiên giòn | 3 muỗng cà phê hạt nêm | 1/2 muỗng cà phê đường | 1/2 muỗng cà phê bột ngọt | 1 muỗng cà phê tiêu | Dầu ăn | Xà lách, cà chua","Bào ngư cắt gốc rồi rửa sạch để ráo và xé nhỏ | Bắp lột vỏ rồi rửa sạch để ráo và bào mỏng. | Cho tất cả nấm bào ngư, đậu hủ, rong biển ăn liền, rong biển trộn hạnh nhân..., bắp bào mỏng, thì là,bột chiên giòn,hạt nêm, đường, bột ngọt, tiêu vào thau trộn đều.Ko thêm nước nhé vì nấm bào ngư sẽ ra nước nha. | Sau khi trộn đều thì vo viên dẹp cho vào chảo dầu chiên vàng giòn 2 mặt rồi vớt ra giấy thấm dầu. | Chả nấm chay ăn kèm với xà lách, cà chua và nước tương kèm ớt là hết sẩy luôn nhé.Mọi người vào bếp trổ tài cho ngày chay sắp tới nha."
Canh chay đậu hủ nấu mướp và rau,15p,3 - 4 người,Dễ,2 miếng đậu hủ trắng rửa sạch để ráo cắt miếng vuông | 1 trái mướp | 150 gr rau xà lách xoong nhật và rau ngót nhật | Hạt nêm chay | muối | dầu ăn | tiêu,"Mướp gọt vỏ rửa sạch để ráo và cắt miếng nhỏ vừa ăn,các loại rau rửa sạch để ráo. | Cho nồi nước lên bếp nấu sôi thêm ít muối và dầu ăn cho mướp và rau xà lách xoong nhật và rau ngót nhật vào nấu sôi. | Sau khi mướp và rau vừa chín thì cho đậu hủ trắng vào nấu cho sôi lại, nêm nếm lại cho vừa ăn rồi tắt bếp. | Múc canh ra tô,rắc thêm ít tiêu cho thơm."
Thịt heo hầm,60 phút,4 người,Dễ,Thịt lợn | 3 thìa canh sữa tươi | 2 thìa cafe đường | sữa đặc | 1 thìa canh bakingsoda | 3 thìa canh muối | hành củ tím | nước mắm | hạt tiêu,"Thịt rửa sạch. Sữa tươi 3 thìa canh, quấy cùng nước ấm và 1 thìa canh baking soda ngâm ngập mặt thịt trong 30 phút | Vớt thịt ra, rửa lại thật sạch. Ướp với 3 thìa canh muối ăn, hành, tiêu, và 2 thìa cafe đường trong 20 phút cho ngấm | Cho tất cả vào nồi áp suất, cho nước xâm xấp thịt. 30 phút với nồi instandpot, chế độ nấu cao, xả van tự nhiên, là đã có món chuẩn vị đồ hộp Hạ Long rồi. Xắn miếng thịt mềm thơm, vẫn hồng, ăn cùng cơm nóng đã ghê. Nước thịt, xào cùng rau cải ăn cũng nghiện lắm"
Bóng cá chay chiên giòn mè rang,30p,3-4 người,Dễ,100 gr bóng cá chay | 20 gr mè rang | Dầu ăn | 2 muỗng canh đường | 2 muỗng canh nước tương | 2 muỗng canh nước lọc,"Cho bóng cá chay vào tô ngâm nở, rửa sạch nhiều lần với nước. | Sau đó cho chảo lên bếp cho dầu ăn vào chảo rồi cho bóng cá chay vào chiên giòn vớt ra giấy thấm dầu. | Cho vào tô 2 muỗng canh nước tương, 2 muỗng canh đường, 2 muỗng canh nước lọc khuấy đều. | Cho chảo lên bếp cho chén hỗn hợp nước tương vào chảo nấu sôi đến khi sền sệt lại thì cho bóng cá chay vào trộn đều nêm nếm lại cho vừa ăn rồi tắt bếp, rắc thêm mè rang lên mặt. | Múc bóng cá chay chiên giòn mè rang ra đĩa,mời cả nhà cùng thưởng thức nhé!"
Cá bống trứng kho tiêu,30p,2-3 người,Dễ,1 vĩ cá bống trứng | 5 tép tỏi | Gia vị : | nước mắm | đường | nước màu | bột nêm,"Rửa sạch cá, đoạn ướp gia vị và tỏi vào đảo đều để cá thấm 30' | Phi tỏi cho thơm cho cá vào đảo đều, cho cá sôi vài dạo, nêm vừa khẩu vị, cho thêm ớt và tiêu vào. Đoạn chuyển cá qua tộ vặn nhỏ lửa đun cho cá kẹo lại. | Cá bống khi tộ ăn kèm với rau luộc, rau sống thêm phần đậm đà"
Cá chai/cá chỉ vàng chua ngọt,30p,2 người,Dễ,Cá chai 1 nắng hoặc cá chỉ vàng | 3 thìa canh mắm | 2 thìa canh đường | 1 quả ớt sừng | 1 thìa tương ớt | 1 thìa mật mía | 1 quả chanh | nửa bát con nước sôi nguội,"Cá làm sạch, rán vàng. Vớt ra, để ráo dầu | Pha nước ướp gồm: nửa bát con nước sôi nguội, 3 thìa canh nước mắm, 2 thìa canh đường, 1 quả chanh, cho 1 thìa mật mía, 1 thìa tương ớt và 1 quả ớt vào quấy tan. Cho vào ướp 15 phút cho ngấm | Bắc nồi lên, cho cá vào nồi. Rim nhỏ lửa tới khi keo sệt lại, nêm lại vừa ăn ^^"
Mâm cơm chay cúng rằm tháng 7(Lễ Vu Lan),3h,8 người,Dễ,1 kg nếp | 1 mớ lá cẩm tươi | 300 g bột mì | 200 g nấm bào ngư | 50 g nấm mèo | 2 củ cà rốt | 200 g nấm rơm | 2 củ khoai lang | 500 ml nước cốt dừa | 1 bịch sữa tươi | 1 búp xà lách | 1 trái cà chua | 1 miếng chả lụa chay | 5 miếng sườn chay | 200 g bông Thiên Lý,Cà ri chay | Sủi cảo | Xôi lá cẩm | Bông Thiên Lý xào nấm bào ngư | Sườn chay khìa sốt tiêu đen | Salad chay | Đậu hũ nhồi nấm rim nước tương
Cá nướng Tây Bắc,2 tiếng.,3_4 người,Dễ,"800_1000gram Cá rô phi , diêu hồng làm sạch | Gia vị chẩm chéo sẵn | Húng chó , | kinh giới , | lá chanh , | ngải cứu | Tiêu , | bột nghệ, | bột tỏi, | bột gừng | Thì là , mùi tàu , hành hoa , ngổ | Muối | Chỉ, lạt để buộc","Do không sẵn nguyên liệu Tây Bắc nên t có sử dụng loại gia vị tươi đóng đá do 1 lần hội chợ mua được. Các loại rau thơm khác mỗi thứ vài cọng. Băm nhỏ tất cả. | Trộn rau thơm với muối, bột tỏi, tiêu, gia vị chẩm chéo, bột nghệ. 1 con cá với nửa thìa muối tinh (hoặc sử dụng bột muối tỏi, bột muối tiêu thì chú ý lượng muối vừa đủ). Cá làm sạch, lạng bụng lách chia thịt và xương sống. Nhồi hỗn hợp rau vào cá, lấy chỉ hoặc lạt quấn lại. Ướp tầm 30_45 phút hoặc lâu hơn. | Nướng ở 180 độ 30 phút, đảo đều 2 mặt. Chỉnh nhiệt to 200 độ cho cá chín vàng hơi xém. (khoảng 15_20 phút) Quá trình nướng thấy khô có thể quết chút dầu ăn hoặc nước dầu cá tự ra đọng ở dưới nồi."
Mì Quảng Tôm -Mực,30phút,4 người,Dễ,"1 kg sợi mì quảng | 300 ml nước | 10-20 con tôm làm sạch bóc chỉ lưng | 3 con Mực ống (cắt khoan tròn bỏ túi mực làm sạch) | 1 quả Trứng gà | 4 muỗng Màu điều tạo màu | củ nén | hành khô | tỏi, hành băm | Đậu phộng rang vàng | Rau sống theo sở thích | Bánh tráng (bánh đa) | Hành lá | ngò | Gia vị | 2 vá canh nhỏ nước mắm | 1 muỗng đường | hạt nêm | mì chính | dầu điều | 2 muỗng Bơ đậu phộng","Nguyên liệu làm sạch, cho phần tôm với gia vị như nước mắm 2 vá canh nhỏ, đường 1 muỗng (gia giảm theo khẩu vị), mì chính, hạt nêm, dầu diều, tỏi băm, hành băm, 2 muỗng bơ đậu phộng (tạo độ béo cho nước dùng) tiếp theo cho nén phi thơm với dầu điều đảo sơ cho vàng rồi đổ hỗn hợp tôm ướp vào xào sơ cho săn lại | Hỗn hợp tôm ướp sẵn | Xào săn lại cho 300ml nước vào hạ lửa riêu cho thấm | Khi nước sôi và cạn 1/3 phần thì cho đậu phộng dã nhỏ vào kèm phần mực (giúp mực tươi dòn và k dai), nêm nếm lại vừa ăn cho phân trứng đánh nhuyển khuấy đều vào nước dùng cho sánh nhẹ | Múc ra tô ăn kèm với đậu rang, bánh tráng.Chúc mọi người thành công !"
Kai Phalo - Thịt Heo Kho Tàu Kiểu Thailand,1 tiếng 30 phút,4 người,Dễ,500 gam thịt ba chỉ xắt vuông | 4 quả trứng gà hoặc vịt | 4-5 cái hoa hồi | 2 thanh quế bằng ngón tay | 1 tsp hạt ngò | 1/2 tsp tiêu Tứ Xuyên | 8 nụ đinh hương | 5 gốc ngò lấy cả rễ | 5 lá nguyệt quế | 5 tbsp đường thốt nốt | 2 tbsp nước tương | 1 tbsp Golden Mountain Sauce (nêu không có thì cho qua ) | 1 tbsp dầu hào | 3 tsp hắc xì dầu | Nước dùng heo hoặc gà,"Rang 2 hoa hồi + 1tsp hạt ngò + 1/2tsp tiêu Tứ Xuyên + 8 nụ đinh hương trên chảo cho sẫm màu và có mùi thơm. Sau đó, xay nhuyễn cùng 5 gốc rễ ngò. Cho 2tbsp dầu vào chảo. Khi dầu nóng, cho hỗn hợp vừa xay vào, phi cho thơm. | Cho thịt ba chỉ heo đã xắt vuông vào chảo đảo đều cho thịt săn lại và thấm hỗn hợp ướp. Cho thêm vào chảo 5tbsp đường thốt nốt. Tiếp tục đảo cho đường lên màu caramel. Cho vào thịt hỗn hợp nước ướp gồm: 2tbsp nước tương + 1tbsp Golden Moutain Sauce (một loại nước tương của Thailand) + 1tbsp dầu hào + 3tsp hắc xì dầu. Trộn cho hỗn hợp này ướp đều vào thịt. | Cho nước dùng gà hoặc heo vào ngập thịt. Thả vào đó 2 thanh quế bằng ngón tay và 2-3 hoa hồi. Nấu đến khi nước trong chảo sôi lên thì hạ lửa nhỏ để thịt thấm và mềm dần. | Trứng luộc chín, lột vỏ. Đến khi thịt mềm thì ta cho trứng vào kho chung. | Tiếp tục nấu. Nếu thịt chưa mềm hẳn thì có thể thêm nước dùng vào để nấu tiếp, tránh nước bị cạn. Cho thêm 4-5 lá nguyệt quế (Bay leaf) vào. | Khi thịt đã chín và thật mềm, cũng như trứng đã thấm màu nâu cánh gián của nước sốt thì ta tắt bếp. Múc món ăn ra dĩa và thưởng thức cùng cơm nóng."
Mỳ Ý Hải sản sốt cà chua,30 phút,1 người,Dễ,"3 trái cà chua loại vừa | 5-6 con tôm loại vừa (hoặc các loại hải sản khác) | Mỳ Ý (lấy lượng vừa ăn) | Gia vị (đường, bột nêm, tương cà , tiêu,...) | Hành khô cắt mỏng","CÀ CHUA: Xẻ cà chua hình chữ thập. Luộc sơ trong 3 phút. Sau đó vớt ra, bóc vỏ và bỏ hạt. Cho vào máy xay, xay nhuyễn, mịn. Cho ra bát trộn với 1 ít dầu ôliu (hoặc dầu ăn) và 1 ít tỏi băm nếu thích. | MỲ Ý: Đun nước sôi, thêm tí muối. Lấy lượng mỳ vừa đủ ăn cho vào nồi (không bẻ mỳ) luộc tầm 7-9p tùy thích. Các bạn có thể ăn thử mỳ xem độ mềm đúng ý hay chưa. Sau đó vớt mỳ ra (chừa lại nước luộc). | TÔM: Lột đầu và vỏ. Xào sơ với 1 ít dầu. | Bắt chảo lên bếp, cho hành vào phi thơm. Sau đó đổ phần cà chua đã xay vào, thêm 1-2 muỗng canh nước luộc mỳ ban nãy. Nêm vừa ăn (nêm hơi ngọt vị sẽ ngon hơn), thêm 1 ít tương cà cho đậm vị. Cho tôm vào đảo trên lửa vừa để tôm thấm sốt. Rắc thêm ít tiêu nữa là okla | Bạn có thể cho mỳ vào chảo và đảo đều để mỳ thấm sốt hơn, sau đó cho ra đĩa và thưởng thức. - Hoặc cho mỳ ra đĩa và rưới sốt lên, trộn đều và thưởng thức! 2 cách này đều ngon như nhau nhoóo 😻 | Tadaaaa, và đây là thành quả. Chúc các bạn ngon miệng!! Ăn vào ngày mưa là hết sẩy 😋😋"
Canh Rau Tập Tàng Nấu Mướp,60 phút,4 người,Dễ,"100 g thịt xay | 100 g rau tập tàng (các loại rau: rau đay, rau ngót , rau bình bát , cải trời , rau dền...) | 100 g mướp | Muối | Bột ngọt","Chuẩn bị các nguyên liệu sẵn sàng sạch sẽ. Rau cắt nhỏ, mướp cắt miếng mỏng. | Đun sôi nước trong nồi, cho thịt vào nấu chín. Thêm ít muối vào rồi cho rau. Khi nước sôi trở lại thì cho mướp vào (mướp cắt mỏng rất nhanh chín). Nêm nếm lại cho vừa khẩu vị nha. | Chúc bạn thành công món canh này nhé!"
Thịt kho Coca,60 phút,4 người,Dễ,Thịt heo | Quế thanh | xuyên tiêu | hoa hồi | lá nguyệt quế | Dầu hào | Coca cola (hoặc Pesi) | Trứng gà (hoặc trứng cút ) | Bột nêm,"Cho Thịt heo vô chảo làm cho chính bỏ ra | Luộc trứng chín (lồng đào càng ngon) cho thêm dầu vào, bỏ gia vị hoa hồi, lá nguyệt quế,thanh quế, dầu hào và bỏ thịt với trứng vô đảo đều, sau đó thêm Coca Cola nấu 20 phút rồi thêm xuyên tiêu và tiêu, nấu tiếp 5-10 phút cho thấm vô đặc kẹo bỏ ra dĩa ăn với cơm là xong"
Canh thịt bò nấu dưa muối chua ngọt,1 tiếng 30 phút,3-4 người,Dễ,500 g Thịt bò | Hành khô ( hành củ tím) | Bột canh | Nước mắm | 2 quả Cà chua | 1/2 quả dứa | Dưa chua muối ngả vàng | 2 quả ớt | 2 mớ thì là,"Thịt bò thái miếng dày to vừa ăn, ướp bột canh, nước mắm 30 phút. Cà chua thái bổ cau. Dưa muối chua lấy cả nước | Dưa lấy nửa quả, thái lát, thì là rửa sạch cắt nhỏ từng đoạn 1cm để riêng | Bóc hành khô bỏ vào nồi đảo với dầu ăn. Cho thịt bò vào. Đảo thịt bò với dưa khi đến khi bò chuyển màu đều không còn đỏ. Nếu bạn có nồi áp suất hãy hầm thịt bò riêng để bò nhừ mềm ngon hơn nữa | Cho dứa, cà chua vào nồi, ớt, đổ nước ngập qua mặt thịt 2cm. Đậy vung, lửa vừa phải, đun sôi 1 tiếng. Cạn nước thì tiếp thêm. Đổ cả nước dưa chua vào tăng hương vị | Khi thịt bò nhừ, tắt bếp, bỏ thì là vào đậy vung 5-10 phút. Bỏ ra bát là ăn được. Có chút vị mặn nhẹ, cay nhẹ, vị ngọt của dứa, vị chua của dứa và dưa. Thịt bò mềm ngọt là thành công"
Thịt Bò Xay Xào Lá Lốt,60 phút,4 người,Dễ,250 g thịt bò xay | 1 muỗng dầu hào | 1 muỗng cafe xì dầu | 10g lá lốt | 1 ít tiêu | 1 muỗng tỏi giã dập,"Lá lốt rửa sạch cắt sợi. Làm nóng chảo, cho dầu ăn và tỏi giã dập vào phi tới khi dậy mùi thơm thì trút thịt bò (lúc này mình nấu vội nên không ướp thịt bò trước) và gia vị vào xào áp chảo. | Cuối cùng thêm lá lốt vào xào nhanh tay, nêm nếm lại cho vừa khẩu vị rồi tắt bếp nha!"
Thịt Heo Kho,1-2 tiếng,4 người,Dễ,300 g thịt ba rọi | 2 muỗng mắm | 1 muỗng cf đường đen (thay nước màu hàng) | 1 muỗng đường cát | 2 củ hành tím giã nhỏ | 1 ít tiêu | 1 ít bột ngọt | 3 muỗng mỡ hoặc dầu ăn,"Thịt ba rọi cắt miếng nhỏ ướp với gia vị, để 30 phút đến 1 tiếng cho thấm. Làm nóng nồi, cho mỡ vào đợi sôi lên thì trút thịt đã ướp gia vị vào đảo đều. | Cho 50ml nước sôi vào nấu sôi lên, vớt bọt nếu có. Cuối cùng nhỏ lửa nấu đến khi còn lại ít nước sệt sệt là được. Lúc này có thể nêm lại theo khẩu vị của gia đình nhé!"
"Cơm nhà 9 - cà ri gà, canh cá cải trắng đậu hũ",90 phút,2 người,Dễ,"1 con cá ( cá chép , cá diêu hồng…tuỳ ý) | Vài lát gừng | Rau cải ( cải ngọt , cải xanh , cải trắng…tuỳ ý) | 1 miếng đậu hũ non | 1 củ cà rốt | 1-2 củ khoai tây | 1 củ hành tây | 1-2 tép tỏi | Viên cà ri (các shop bán đồ Nhật có nha) | Gia vị: tiêu, bột canh…","Canh rau đậu hũ: Cá làm sạch, cho cá lên chảo chiên vàng cùng vài lát gừng (để khử mùi tanh). Khi cá đã chiên vàng, dằm nát thịt cá, thêm nước sôi vào ninh trong 30 phút. | Lọc hỗn hợp nước trên qua rây, ta có nước dùng cá (phần xác cá bỏ nha). | Đun sôi nước, cho rau cải vào. Sau khi rau mềm, ta nêm nếm vừa ăn, thêm đậu hũ vào nấu 5-10 phút rồi tắt bếp. Xong! | Cà ri gà: Gà lọc xương và bỏ da (nếu thích), rồi cắt miếng vừa ăn | Khoai tây, cà rốt, hành tây cắt miếng vuông | Băm nhuyễn ít hành tây và tỏi, cho vào xào chung với gà. Khi gà săn lại, thì cho cà rốt và khoai vào xào tiếp. | Cho thêm nước vào, rồi cho viên gia vị cà ri vào, khoấy tan | Sau khi viên cà ri tan hết, thì cho hành tây vào. Ai thích nước sánh hơn thì quấy thêm ít nước bột năng cho vào. Nêm nếm lại lần nữa cho vừa ăn. | Cuối cùng, múc cà ri và canh ra ăn cùng cơm nóng thôi. Có thể làm dư ra sẵn 1 phần để hôm sau mang đi làm rất tiện nha!"
Mì ý - mì spaghetti sốt bò bằm,25',1 người,Dễ,100 g thịt bò xay càng nhuyễn càng ngon | 2-3 trái cà chua loại vừa | 1 củ hành tây xắt hạt lựu | 1 củ cà rốt loại vừa xắt hạt lựu,"Mì ý loại này ăn ngon lắm. Pasta zara số 3. Đã trót biết loại này là chỉ có mua mỗi loại này thui 🙌 | Luộc mì. Đun nước, nước sôi thì cho mì vào luộc. Luộc tầm 5-7' thì kiểm tra nếu sợi mì mềm thì vớt ra xả với nước và để ráo. | Cho một xíu dầu ăn, phi hành thơm cho cà chua cắt nhuyễn vào đảo để cà chua chín. Thêm một ít nước để không bị khô quá. | Cà chua chín nhừ, cho cà rốt, hành tây xắt hạt lựu vào. | Cho thịt bò xay vào. | Gia vị nêm phần ăn cho 1 người 1 mcf tương ớt, 1mcf tương cà, 1/2mcf muối, 0.5 mcf đường, 1mcf nêm, 1mcf bột ngọt, 100ml nước. Vị cơ bản, nếu nhạt hơn thì bạn cho thêm ít muối hoặc nêm theo khẩu vị của bạn nè. Ai không ăn cay được thì mình bỏ tương ớt nhen. | Đun lửa vừa 5-10' để thịt thấm với gia vị vừa nêm. | Pha 1/2mc bột năng với 3mc nước cho vào phần sốt nếu bạn muốn sốt đặc hơn."
Chè nấm mỡ,45 phút,4 người,Dễ,400 g khoai tây | 220 g bột năng | Xíu muối | 200 g đường | 50 g gừng,"Nấu đường với gừng xắt sợi và nủa lít nước để sôi vài dạo rồi nhắc xuống.trước đó gọt khoai tây xắt mỏng nấu chín.khoai chín lấy ra xay nhuyển sau đó thêm xíu muối và cho bột năng từ từ vào nhồi mịn vo viên. | Bắc nồi nước sôi luọc bột.dùng chai thủy tinh cho viên chè vào lòng bàn tay ấn miệng chai xuống rồi lấy ra cho vào nồi nước luộc,bột nổi lên là bánh chín vớt ra rửa sạch để ráo cho vào nồi nước đường.nếu thích ăn với nước cốt thì thắng chan lên.mình thích ăn nước đường trong nên để nguyên vậy"
Trứng cá kho tiêu,15 phút,4 người,Dễ,"500 g trứng cá | 3 tép tỏi,1 trái ớt sừng | 2 tép hành lá | 1 vá nước mắm | 1 vá đầy đường cát | 1/2 mcf bột ngọt | 1/2 mcf tiêu | 50 g mỡ gáy | ...","Trứng cá rửa sạch bằng nước nấu với gừng và rượu trắng sau đó đem hấp chín.bắc chảo cho mỡ vào thắng sau đó lấy mỡ ra cho tỏi ớt vào,tỏi vàng lấy ra cho nước mắm đường bột ngọt và thêm nước màu,thêm 2 vá nước lạnh nấu sôi nêm vừa ăn. | Nêm xong cho trứng cá vào,trở nhẹ,mình mua nhầm trứng cá thu nên rất bở,khi mua đặt trứng cá sặc.rim cho trứng thấm cho chén nước và tóp mỡ vào.cuối cunhf cho tỏi ớt hành lá vào múc ra dĩa cho thêm tiêu là xong"
Cá Hồi Kho Tiêu,30 phút,3 người,Dễ,"250 gr cá hồi phi lê | 1 củ hành tím (có thể dùng đầu hành thay thế) | 1 cây hành lá | 3 tép tỏi | Ớt hiểm hoặc ớt sừng (tuỳ thích cay nhiều ít) | 1 mc dầu ăn | Sốt ướp cá | 1,5 mc nước mắm | 1 mc tương kecap ( xì dầu ngọt ) | 1 mc đường cát | 1/2 mcf tiêu | 1/3 mcf bột ngọt (optional, ai dị ứng có thể bỏ qua )","Cá rửa sạch cắt miếng vừa ăn ướp với các gia vị trên | 🔪 Hành lá cắt xéo cỡ nhỏ, tỏi đập dập cắt đôi hoặc ba, hành tím (hoặc đầu hành) băm nhỏ. 🔪 Cho 1 mc dầu ăn vào chảo đun nóng. | Dầu nóng cho hành tím vào phi thơm trước rồi đến tỏi, xếp cá vào, để lửa trung bình, lật cá 1 lần để thấm sốt rồi đậy nắp hé kho lửa nhỏ liu riu trong 5 phút 📝 Note: phần sốt sót lại trong tô ướp cá bạn cho vào một ít nước lọc tráng cho vào chảo kho luôn. | Sau 5 phút trở cá sang mặt kia kho tiếp 5 phút | Cá thấm sốt keo lại tắt lửa, rắc hành lá và ớt cắt lát vào. Cá hồi kho tiêu dùng với cơm trắng và các món rau xào hay luộc rất ngon."
Cơm nhà 42,60 phút,4 người,Dễ,"1 kg cá diêu hồng | 200 gram cá thác lác (đã nạo) | Đồ nấu canh chua ( bạc hà , đậu bắp , cà chua , thơm,giá, rau ngổ ) | Rau xà lách | dưa leo | Hành tím băm | nước cốt chanh | Chanh | tỏi | Hạt nêm | nước mắm | đường | dầu ăn","Cá diêu hồng chiên giòn: _ Cá làm sạch, rửa với nước muối loãng, để ráo. _ Cho dầu ăn vô chảo, nấu sôi dầu, cho vô xíu muối rồi cho cá vô chiên vàng giòn 2 mặt. _ Vớt cá ra dĩa, chấm với nước mắm tỏi ớt. | Canh chua cá thác lác: https://cookpad.com/vn/r/16407464 | Rau xà lách rửa sạch, để ráo rồi xếp ra dĩa _ Dưa leo rửa sạch, cắt lát, xếp ra dĩa | Dọn đồ ăn ra bàn rồi cùng cả nhà ăn cơm thôi."
Thịt chiên,60 phút,4 người,Dễ,200 gr thịt | 1 cây Sả | Tỏi 1 múi to | Gia vị,"Thịt heo rửa sạch với muối, vớt ra để ráo nước, sả băm nhỏ,tỏi băm nhỏ cho vào thịt đã rửa sạch,sau đó cho thêm 2 muỗng cf nước mắm,1 muỗng cf dầu hào,1 muỗng cf nước tương,1 muỗng cf bột nên,2 muỗng cf đường,1/2 muỗng cf bột ngọt.1ít tiêu.ướp khoảng 1 tiếng sau đó đem đi chiên | Cho 1 ít dầu ăn vào chảo bật bếp lên,dầu nóng thì cho thịt đã ướp vào, chiên 1 mặt vàng xong thì lật qua mặt kia,khi 2 mặt đều vàng thì tắt bếp.vậy là xong."
Tôm sốt mayonaise cay,30 phút,2 người,Dễ,200 g tôm tươi | Bột ngô | Dầu ăn | 30 g (2 thìa ăn cơm) mayonaise | 15 g (1 thìa ăn cơm) tương ớt | Tiêu | muối | đường | Rau mầm cải | bánh mì / cơm hoặc màn thầu,"Sơ chế tôm: - Tôm rửa sạch, bỏ chỉ, bỏ đầu, lột vỏ - Bóp qua nước nhiều lần để tôm hết nhớ - Để ráo | Chiên tôm bằng nồi chiên không dầu: *Cách 1: áo tôm bằng một lớp bột ngô mỏng, xếp lên khay của nồi chiên, xịt một lớp dầu mỏng lên rồi cho vào nồi chiên khoảng 130 độ trong 5 phút, lật mặt chiên thêm 2-3 phút nữa là được. *Cách 2: nếu không có bình xịt dầu, bạn có thể trộn tôm với dầu ăn sau đó lăn qua lớp bột ngô mỏng, rồi xếp lên khay chiên Không chiên nhiệt quá cao hay chiên quá lâu tôm dễ bị dai | Trộn đều mayonaise, tương ớt và một nhúm nhỏ đường. Khi tôm chín để bay bớt hơi nóng rồi cho vào hỗn hợp sốt lắc đâu Dọn ra với tinh bột và rau mầm cải."
